scenario,true_label,pred_label,count
alpha_1,乱采,乱采,0
alpha_1,乱采,乱建,0
alpha_1,乱采,乱堆,1
alpha_1,乱采,乱占,10
alpha_1,乱采,有漂浮物,13
alpha_1,乱采,正常,0
alpha_1,乱建,乱采,0
alpha_1,乱建,乱建,0
alpha_1,乱建,乱堆,0
alpha_1,乱建,乱占,1
alpha_1,乱建,有漂浮物,3
alpha_1,乱建,正常,0
alpha_1,乱堆,乱采,1
alpha_1,乱堆,乱建,0
alpha_1,乱堆,乱堆,6
alpha_1,乱堆,乱占,4
alpha_1,乱堆,有漂浮物,13
alpha_1,乱堆,正常,0
alpha_1,乱占,乱采,0
alpha_1,乱占,乱建,0
alpha_1,乱占,乱堆,0
alpha_1,乱占,乱占,44
alpha_1,乱占,有漂浮物,16
alpha_1,乱占,正常,0
alpha_1,有漂浮物,乱采,0
alpha_1,有漂浮物,乱建,0
alpha_1,有漂浮物,乱堆,0
alpha_1,有漂浮物,乱占,2
alpha_1,有漂浮物,有漂浮物,1020
alpha_1,有漂浮物,正常,0
alpha_1,正常,乱采,0
alpha_1,正常,乱建,0
alpha_1,正常,乱堆,0
alpha_1,正常,乱占,0
alpha_1,正常,有漂浮物,5
alpha_1,正常,正常,0
alpha_1p5,乱采,乱采,0
alpha_1p5,乱采,乱建,0
alpha_1p5,乱采,乱堆,2
alpha_1p5,乱采,乱占,10
alpha_1p5,乱采,有漂浮物,12
alpha_1p5,乱采,正常,0
alpha_1p5,乱建,乱采,0
alpha_1p5,乱建,乱建,0
alpha_1p5,乱建,乱堆,0
alpha_1p5,乱建,乱占,1
alpha_1p5,乱建,有漂浮物,3
alpha_1p5,乱建,正常,0
alpha_1p5,乱堆,乱采,1
alpha_1p5,乱堆,乱建,0
alpha_1p5,乱堆,乱堆,11
alpha_1p5,乱堆,乱占,3
alpha_1p5,乱堆,有漂浮物,9
alpha_1p5,乱堆,正常,0
alpha_1p5,乱占,乱采,0
alpha_1p5,乱占,乱建,0
alpha_1p5,乱占,乱堆,0
alpha_1p5,乱占,乱占,44
alpha_1p5,乱占,有漂浮物,16
alpha_1p5,乱占,正常,0
alpha_1p5,有漂浮物,乱采,0
alpha_1p5,有漂浮物,乱建,0
alpha_1p5,有漂浮物,乱堆,0
alpha_1p5,有漂浮物,乱占,2
alpha_1p5,有漂浮物,有漂浮物,1020
alpha_1p5,有漂浮物,正常,0
alpha_1p5,正常,乱采,0
alpha_1p5,正常,乱建,0
alpha_1p5,正常,乱堆,0
alpha_1p5,正常,乱占,0
alpha_1p5,正常,有漂浮物,5
alpha_1p5,正常,正常,0
alpha_2,乱采,乱采,0
alpha_2,乱采,乱建,0
alpha_2,乱采,乱堆,3
alpha_2,乱采,乱占,10
alpha_2,乱采,有漂浮物,11
alpha_2,乱采,正常,0
alpha_2,乱建,乱采,0
alpha_2,乱建,乱建,0
alpha_2,乱建,乱堆,0
alpha_2,乱建,乱占,1
alpha_2,乱建,有漂浮物,3
alpha_2,乱建,正常,0
alpha_2,乱堆,乱采,1
alpha_2,乱堆,乱建,0
alpha_2,乱堆,乱堆,12
alpha_2,乱堆,乱占,2
alpha_2,乱堆,有漂浮物,9
alpha_2,乱堆,正常,0
alpha_2,乱占,乱采,0
alpha_2,乱占,乱建,0
alpha_2,乱占,乱堆,0
alpha_2,乱占,乱占,44
alpha_2,乱占,有漂浮物,16
alpha_2,乱占,正常,0
alpha_2,有漂浮物,乱采,0
alpha_2,有漂浮物,乱建,0
alpha_2,有漂浮物,乱堆,0
alpha_2,有漂浮物,乱占,2
alpha_2,有漂浮物,有漂浮物,1020
alpha_2,有漂浮物,正常,0
alpha_2,正常,乱采,0
alpha_2,正常,乱建,0
alpha_2,正常,乱堆,0
alpha_2,正常,乱占,0
alpha_2,正常,有漂浮物,5
alpha_2,正常,正常,0
alpha_2p5,乱采,乱采,0
alpha_2p5,乱采,乱建,0
alpha_2p5,乱采,乱堆,3
alpha_2p5,乱采,乱占,10
alpha_2p5,乱采,有漂浮物,11
alpha_2p5,乱采,正常,0
alpha_2p5,乱建,乱采,0
alpha_2p5,乱建,乱建,0
alpha_2p5,乱建,乱堆,0
alpha_2p5,乱建,乱占,1
alpha_2p5,乱建,有漂浮物,3
alpha_2p5,乱建,正常,0
alpha_2p5,乱堆,乱采,0
alpha_2p5,乱堆,乱建,0
alpha_2p5,乱堆,乱堆,13
alpha_2p5,乱堆,乱占,2
alpha_2p5,乱堆,有漂浮物,9
alpha_2p5,乱堆,正常,0
alpha_2p5,乱占,乱采,0
alpha_2p5,乱占,乱建,0
alpha_2p5,乱占,乱堆,0
alpha_2p5,乱占,乱占,44
alpha_2p5,乱占,有漂浮物,16
alpha_2p5,乱占,正常,0
alpha_2p5,有漂浮物,乱采,0
alpha_2p5,有漂浮物,乱建,0
alpha_2p5,有漂浮物,乱堆,1
alpha_2p5,有漂浮物,乱占,2
alpha_2p5,有漂浮物,有漂浮物,1019
alpha_2p5,有漂浮物,正常,0
alpha_2p5,正常,乱采,0
alpha_2p5,正常,乱建,0
alpha_2p5,正常,乱堆,0
alpha_2p5,正常,乱占,0
alpha_2p5,正常,有漂浮物,5
alpha_2p5,正常,正常,0
alpha_3,乱采,乱采,0
alpha_3,乱采,乱建,0
alpha_3,乱采,乱堆,3
alpha_3,乱采,乱占,10
alpha_3,乱采,有漂浮物,11
alpha_3,乱采,正常,0
alpha_3,乱建,乱采,0
alpha_3,乱建,乱建,0
alpha_3,乱建,乱堆,0
alpha_3,乱建,乱占,1
alpha_3,乱建,有漂浮物,3
alpha_3,乱建,正常,0
alpha_3,乱堆,乱采,0
alpha_3,乱堆,乱建,0
alpha_3,乱堆,乱堆,13
alpha_3,乱堆,乱占,2
alpha_3,乱堆,有漂浮物,9
alpha_3,乱堆,正常,0
alpha_3,乱占,乱采,0
alpha_3,乱占,乱建,0
alpha_3,乱占,乱堆,0
alpha_3,乱占,乱占,44
alpha_3,乱占,有漂浮物,16
alpha_3,乱占,正常,0
alpha_3,有漂浮物,乱采,0
alpha_3,有漂浮物,乱建,0
alpha_3,有漂浮物,乱堆,3
alpha_3,有漂浮物,乱占,1
alpha_3,有漂浮物,有漂浮物,1018
alpha_3,有漂浮物,正常,0
alpha_3,正常,乱采,0
alpha_3,正常,乱建,0
alpha_3,正常,乱堆,0
alpha_3,正常,乱占,0
alpha_3,正常,有漂浮物,5
alpha_3,正常,正常,0
alpha_3p5,乱采,乱采,0
alpha_3p5,乱采,乱建,0
alpha_3p5,乱采,乱堆,4
alpha_3p5,乱采,乱占,10
alpha_3p5,乱采,有漂浮物,10
alpha_3p5,乱采,正常,0
alpha_3p5,乱建,乱采,0
alpha_3p5,乱建,乱建,0
alpha_3p5,乱建,乱堆,0
alpha_3p5,乱建,乱占,1
alpha_3p5,乱建,有漂浮物,3
alpha_3p5,乱建,正常,0
alpha_3p5,乱堆,乱采,0
alpha_3p5,乱堆,乱建,0
alpha_3p5,乱堆,乱堆,13
alpha_3p5,乱堆,乱占,2
alpha_3p5,乱堆,有漂浮物,9
alpha_3p5,乱堆,正常,0
alpha_3p5,乱占,乱采,0
alpha_3p5,乱占,乱建,0
alpha_3p5,乱占,乱堆,1
alpha_3p5,乱占,乱占,43
alpha_3p5,乱占,有漂浮物,16
alpha_3p5,乱占,正常,0
alpha_3p5,有漂浮物,乱采,0
alpha_3p5,有漂浮物,乱建,0
alpha_3p5,有漂浮物,乱堆,4
alpha_3p5,有漂浮物,乱占,1
alpha_3p5,有漂浮物,有漂浮物,1017
