filename,relative_path,original_label,reviewed_label,alternate_label,decision_type,manual_visual_review,confidence,review_status,review_notes,evidence_scale,evidence_location
02043.jpg,训练集/02043.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02044.jpg,训练集/02044.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02045.jpg,训练集/02045.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02046.jpg,训练集/02046.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02047.jpg,训练集/02047.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02048.jpg,训练集/02048.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02049.jpg,训练集/02049.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02050.jpg,训练集/02050.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02051.jpg,训练集/02051.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02058.jpg,训练集/02058.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02059.jpg,训练集/02059.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02062.jpg,训练集/02062.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02072.jpg,训练集/02072.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02073.jpg,训练集/02073.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02074.jpg,训练集/02074.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02075.jpg,训练集/02075.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02076.jpg,训练集/02076.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02077.jpg,训练集/02077.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02078.jpg,训练集/02078.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02079.jpg,训练集/02079.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02080.jpg,训练集/02080.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02081.jpg,训练集/02081.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02082.jpg,训练集/02082.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02083.jpg,训练集/02083.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02084.jpg,训练集/02084.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02085.jpg,训练集/02085.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02086.jpg,训练集/02086.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02087.jpg,训练集/02087.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02088.jpg,训练集/02088.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02089.jpg,训练集/02089.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02090.jpg,训练集/02090.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02091.jpg,训练集/02091.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02112.jpg,训练集/02112.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02113.jpg,训练集/02113.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02114.jpg,训练集/02114.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02115.jpg,训练集/02115.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02116.jpg,训练集/02116.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02117.jpg,训练集/02117.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02118.jpg,训练集/02118.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02119.jpg,训练集/02119.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02120.jpg,训练集/02120.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02121.jpg,训练集/02121.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02127.jpg,训练集/02127.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02128.jpg,训练集/02128.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02129.jpg,训练集/02129.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
02130.jpg,训练集/02130.jpg,乱占,乱占,,official_label_passthrough,false,official_label_in_train_json,official_label_retained_pending_visual_review,P0不擅自改写官方train.json标签；视觉复核未完成。,,
