filename,champion_pred,new_pred,reviewed_truth,state
01189.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00470.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00577.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00485.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00160.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00752.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00556.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01097.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00126.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00213.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01181.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01080.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00804.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00988.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00864.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02080.jpg,乱占,乱占,乱占,correct_both
01175.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01220.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01243.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01067.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01075.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01214.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01224.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00149.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00019.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00731.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00965.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02145.jpg,乱占,乱占,乱占,correct_both
00822.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00642.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00206.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00007.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00937.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02074.jpg,乱占,乱占,乱占,correct_both
00639.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00997.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02117.jpg,乱占,乱占,乱占,correct_both
00803.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00833.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00498.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00507.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00024.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00113.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00156.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01052.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00758.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00860.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00153.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00627.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01179.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01231.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00931.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00922.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00993.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00887.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00229.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00691.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00131.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02081.jpg,乱占,乱占,乱占,correct_both
02136.jpg,乱占,乱占,乱占,correct_both
02086.jpg,乱占,乱占,乱占,correct_both
02141.jpg,乱堆,乱堆,乱堆,correct_both
00078.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00136.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01164.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01015.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00820.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00969.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00870.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00562.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01007.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01059.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00516.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00452.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00057.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00073.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00660.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02126.jpg,乱采,乱采,乱采,correct_both
00751.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00527.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00819.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02137.jpg,乱占,乱占,乱占,correct_both
01198.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01236.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01205.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00082.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00825.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00014.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01176.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00111.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00589.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00759.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00474.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00063.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01173.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00569.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01206.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00606.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00504.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02150.jpg,乱占,乱占,乱堆,persistent_error
00165.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01001.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00809.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
01134.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00176.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00163.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00039.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00457.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00907.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02103.jpg,乱堆,乱堆,乱堆,correct_both
00975.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00490.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00889.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00542.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00077.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02488.jpg,有漂浮物,有漂浮物,乱建,persistent_error
00185.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
00144.jpg,有漂浮物,有漂浮物,有漂浮物,correct_both
02114.jpg,乱占,乱占,乱占,correct_both
