filename,relative_path,official_label,model_pred,fold,true_probability,pred_probability,margin,reviewed_label,review_status,confidence,evidence_scale,has_floating_object,same_scene_group,review_notes
02486.jpg,训练集\02486.jpg,乱建,乱占,1,0.01859263889491558,0.9625087380409241,0.9439160991460085,乱建,confirmed,high,global,no,,建筑主体紧贴河道岸线，整体空间关系符合岸线/河道范围内建设行为；未见水面漂浮垃圾。保留官方“乱建”。
02487.jpg,训练集\02487.jpg,乱建,有漂浮物,2,0.005493402015417814,0.9757781028747559,0.963166686706245,乱建,confirmed,medium,global,no,,河岸边存在挖掘机及混凝土构筑物拆建/施工，证据更接近岸线建设活动而非采挖或漂浮物。保留官方“乱建”；是否违规仍依赖业务背景。
02488.jpg,训练集\02488.jpg,乱建,有漂浮物,2,0.006501275114715099,0.9923486709594727,0.9858473958447576,乱建,confirmed,high,global,no,,成组房屋/棚体直接建于水面平台并占据水域，属于明显建设性构筑物；平台不是“漂浮垃圾”。保留官方“乱建”。
02489.jpg,训练集\02489.jpg,乱建,有漂浮物,3,0.14298489689826965,0.753589928150177,0.6106050312519073,乱建,confirmed,medium,global,no,,多间活动板房紧贴水边并进入岸线空间，整体场景支持“乱建”；未见漂浮垃圾。保留官方标签。
00033.jpg,训练集\00033.jpg,正常,有漂浮物,2,4.424890903464984E-06,0.9998600482940674,0.9997352012578631,有漂浮物,relabel,high,local,yes,,桥墩附近水面可见一只蓝色桶/容器半漂浮并带黑色绳管，属于明确人工漂浮物。建议由“正常”改为“有漂浮物”。
00064.jpg,训练集\00064.jpg,正常,有漂浮物,2,0.0026608684565871954,0.97740638256073,0.9649606579914689,正常,confirmed,medium,none,no,,画面为岸边道路、车辆及停放机械，前景船体内未见垃圾；没有明确采挖、乱堆、乱占、乱建或水面漂浮物证据。保留“正常”。
00096.jpg,训练集\00096.jpg,正常,有漂浮物,1,0.00024820107501000166,0.9995099306106567,0.9992617295356467,正常,confirmed,high,global,no,cleanup_boat_candidate_01,大量枝条和垃圾已被收集在保洁船舱内，水面本身未见散布漂浮垃圾；场景是正常清漂作业。保留“正常”。
00100.jpg,训练集\00100.jpg,正常,有漂浮物,0,0.00022246928710956126,0.9994348883628845,0.9991628451389261,正常,confirmed,high,global,no,cleanup_boat_candidate_01,垃圾和枝条集中在清漂船内，未见其漂浮于水面；属于正常清运/保洁状态。与00096为相似清漂船场景候选。保留“正常”。
00114.jpg,训练集\00114.jpg,正常,有漂浮物,3,0.02587725967168808,0.8331868052482605,0.7027660757303238,正常,confirmed,high,none,no,,规范化滨水步道及护岸设施，未见异常建设、堆放、占用、采挖或漂浮物。保留“正常”。
01086.jpg,训练集\01086.jpg,正常,有漂浮物,3,5.872110341442749E-05,0.9994762539863586,0.9992974874912761,正常,confirmed,high,none,no,,取水口/水工设施及整洁岸线，水面未见明确漂浮垃圾，未见其他治理异常。保留“正常”。
02111.jpg,训练集\02111.jpg,正常,乱堆,2,9.33039264054969E-05,0.9976980090141296,0.9962363505037501,乱堆,relabel,medium,local,no,,画面右下岸线存在较明显板材、建材及杂物露天成堆堆放，视觉证据更符合“乱堆”；是否属于合法施工暂缺上下文，因此置信度为中。建议由“正常”改为“乱堆”。
